MAT-0   
MAT-384   -nan nan
MAT-385   490.55204 2126.444868
MAT-386   408.60112 1634.737331
MAT-387   0.00000 0.000000
MAT-388   -2218.93680 11692.784017
MAT-389   1470.86984 6946.993928
MAT-390   0.00000 0.000000
MAT-391   -nan nan
MAT-392   -2297.99838 11288.998323
MAT-393   0.00000 0.000000
MAT-394   -0.02071 0.006136
MAT-395   3407.02101 20821.310227
MAT-396   -nan nan
MAT-397   -nan nan
MAT-398   0.00000 0.000000
MAT-399   -995.06651 28025.217473
MAT-40   1.43289 5.176369
MAT-41   218.95276 2931.773421
MAT-42   0.00000 0.000000
MAT-43   0.53366 1.642656
MAT-44   0.00000 0.000000
MAT-45   0.43979 0.963152
MAT-46   21.17421 2989.908425
MAT-47   20.30178 2866.717704
MAT-48   12267.81861 47414.933482
MAT-49   0.00000 0.000000
MAT-50   0.00000 0.000000
MAT-51   -9760.08136 39478.147349
MAT-52   0.00000 0.000000
MAT-53   223.98935 557.292001
MAT-54   0.00032 0.000635
MAT-55   0.00000 0.000000
MAT-56   0.00000 0.000000
MAT-57   12362.60967 57835.287438
MAT-58   -291.09811 3602.149967
MAT-59   0.00000 0.000000
MAT-60   -3267.67320 17269.899041
MAT-61   877.04081 2398.792862
MAT-62   0.00000 0.000000
MAT-63   0.00000 0.000000
MAT-64   -821.40373 13183.166685
MAT-65   -545.69489 9227.458695
MAT-66   0.00000 0.000000
MAT-67   -0.00304 0.063911
MAT-68   26.21479 6821.494867
MAT-69   0.00000 0.000000
MAT-70   0.00000 0.000000
MAT-71   2641.61415 6965.887505
MAT-72   0.52308 1.906585
MAT-73   0.00000 0.000000
MAT-74   901.47068 3358.654389
MAT-75   0.00000 0.000000
MAT-76   -2596.82361 10781.675796
MAT-77   0.00000 0.000000
MAT-78   0.00000 0.000000
MAT-79   1576.23538 5510.409951
MAT-400   -186.64745 1819.289756
MAT-401   -1950.03733 9008.028070
MAT-402   -nan nan
MAT-403   1763.39333 9556.980529
MAT-404   -nan nan
MAT-405   1.10894 4.244303
MAT-406   0.00000 0.000000
MAT-407   -1045.49929 3900.714272
MAT-408   0.00000 0.000000
MAT-409   0.00000 0.000000
MAT-410   0.00000 0.000000
MAT-411   -nan nan
MAT-412   0.00000 0.000000
MAT-413   0.00000 0.000000
MAT-414   -nan nan
MAT-415   -998.59058 3956.530294
MAT-416   0.00000 0.000000
MAT-417   23961.01755 104807.866251
MAT-418   -238.61162 1917.119597
MAT-419   2776.71260 11107.602159
MAT-420   2171.17692 9873.065592
MAT-421   0.00000 0.000000
MAT-422   0.00000 0.000000
MAT-423   913.40881 7173.860825
MAT-424   0.00000 0.000000
MAT-425   0.00000 0.000000
MAT-426   2956.67989 12325.670383
MAT-427   -nan nan
MAT-428   -nan nan
MAT-429   -nan nan
MAT-430   0.54730 1.118535
MAT-431   -2206.67501 12975.080612
MAT-432   -2037.07019 18919.987582
MAT-433   0.37106 1.075257
MAT-434   0.00000 0.000000
MAT-435   -nan nan
MAT-436   8870.45138 25998.390738
MAT-437   -1782.64634 8461.620701
MAT-438   0.00000 0.000000
MAT-439   0.00000 0.000000
MAT-440   0.00000 0.000000
MAT-441   0.00000 0.000000
MAT-442   -16.48146 111.679385
MAT-443   -nan nan
MAT-444   0.00000 0.000000
MAT-445   -4038.63387 9919.477420
MAT-446   -1560.70984 4017.050541
MAT-447   196.41016 1188.455977
MAT-448   0.00000 0.000000
MAT-449   0.00000 0.000000
MAT-450   -485.61969 1024.668079
MAT-451   1.78245 6.758732
MAT-452   0.00000 0.000000
MAT-453   -1503.96721 5314.130238
MAT-454   0.00000 0.000000
MAT-455   -15448.26149 79918.812272
MAT-456   0.00000 0.000000
MAT-457   0.00000 0.000000
MAT-458   -0.15818 0.396595
MAT-459   -228.15785 10905.850705
MAT-460   0.51457 1.837402
MAT-461   6.84087 23.903704
MAT-462   7.92433 16.415418
MAT-463   0.00000 0.000000
MAT-464   18.52985 70.681093
MAT-465   0.00000 0.000000
MAT-466   0.00000 0.000000
MAT-467   2010.10195 64010.851135
MAT-468   -548.50457 1683.855582
MAT-469   -1034.66417 5357.878450
MAT-470   1419.09987 5451.466385
MAT-471   1909.63711 4951.525184
MAT-472   -248.18627 1057.431282
MAT-473   -nan nan
MAT-474   -nan nan
MAT-475   507.41695 1964.557648
MAT-476   0.00000 0.000000
MAT-477   0.00000 0.000000
MAT-478   1065.68888 1981.909121
MAT-479   0.00000 0.000000
MAT-480   0.00000 0.000000
MAT-481   0.00000 0.000000
MAT-482   0.14256 0.453186
MAT-483   -1045.41712 6134.855206
MAT-484   0.00000 0.000000
MAT-485   439.33762 13892.266354
MAT-486   2.46137 4.697026
MAT-487   534.32854 1881.089432
MAT-488   2861.32345 15860.187305
MAT-489   6045.34054 20062.342193
MAT-490   14.99766 55.766762
MAT-491   -nan nan
MAT-492   -nan nan
MAT-493   0.00000 0.000000
MAT-494   0.00000 0.000000
MAT-495   -1483.74726 3884.519748
MAT-496   -2170.04909 8205.953421
MAT-497   0.00000 0.000000
MAT-498   -4791.87424 13837.284641
MAT-499   1869.44763 4573.448804
MAT-500   -nan nan
MAT-501   -nan nan
MAT-502   0.00000 0.000000
MAT-503   1.72820 4.248382
MAT-504   -707.59140 9418.650654
MAT-505   0.00000 0.000000
MAT-506   58.86233 234.353819
MAT-507   0.00000 0.000000
MAT-508   632.82154 3461.700920
MAT-509   5990.89934 25323.855181
MAT-510   0.00000 0.000000
MAT-511   82.00972 956.571208
MAT-512   -147.92005 4377.294440
MAT-513   -nan nan
MAT-514   1161.39050 3653.351492
MAT-515   911.07781 4367.674463
MAT-516   0.00000 0.000000
MAT-517   -nan nan
MAT-518   0.00000 0.000000
MAT-519   0.00000 0.000000
MAT-520   -0.02216 0.249468
MAT-521   0.00000 0.000000
MAT-522   0.00000 0.000000
MAT-523   169.22683 505.449888
MAT-524   1632.76902 6430.326136
MAT-525   0.00000 0.000000
MAT-526   -nan nan
MAT-527   -1437.21003 4692.305325
MAT-528   636.12663 6226.008243
MAT-529   0.00000 0.000000
MAT-530   0.00000 0.000000
MAT-531   0.00000 0.000000
MAT-532   -nan nan
MAT-533   899.91137 2598.155966
MAT-534   -2222.91071 8963.669685
MAT-535   0.80515 2.986219
MAT-536   0.00000 0.000000
MAT-537   -9990.59869 29142.086301
MAT-538   7339.75501 87429.401603
MAT-539   -51.52023 491.767885
MAT-540   0.00000 0.000000
MAT-541   -1689.04590 9315.848685
MAT-542   0.00000 0.000000
MAT-543   -1635.22932 9638.749222
MAT-544   0.00000 0.000000
MAT-545   0.08491 0.022632
MAT-546   0.00000 0.000000
MAT-547   -nan nan
MAT-548   -nan nan
MAT-549   2094.30367 7273.530326
MAT-550   529.66984 1246.019027
MAT-551   0.00000 0.000000
MAT-552   1436.48807 3583.169353
MAT-553   9.95586 31.639543
MAT-554   630.12761 1024.822749
MAT-555   0.00000 0.000000
MAT-556   0.00000 0.000000
MAT-557   0.00000 0.000000
MAT-558   115.70873 1330.092384
MAT-559   407.17739 889.949096
MAT-560   5906.52306 31377.341277
MAT-561   0.00000 0.000000
MAT-562   0.00000 0.000000
MAT-563   -1253.09265 5539.971217
MAT-564   2.60475 6.328363
MAT-565   0.00000 0.000000
MAT-566   -425.67046 912.328719
MAT-567   0.00000 0.000000
MAT-568   -834.64304 6493.081380
MAT-569   58.89979 377.366662
MAT-570   0.00000 0.000000
MAT-571   9.94895 2323.339951
MAT-572   0.00000 0.000000
MAT-573   0.45295 1.727115
MAT-574   0.00000 0.000000
MAT-575   0.00000 0.000000
MAT-576   0.00000 0.000000
MAT-577   0.00000 0.000000
MAT-578   -0.00358 0.027776
MAT-579   299.71918 967.268726
MAT-580   29.99546 3431.350448
MAT-581   -nan nan
MAT-582   74.33610 782.562341
MAT-583   -31.70311 152.184695
MAT-584   -6114.05924 26371.170000
MAT-585   -3149.41448 20624.024029
MAT-586   -988.90834 3854.825117
MAT-587   6.30646 24.863396
MAT-588   0.00000 0.000000
MAT-589   0.00465 0.010481
MAT-590   0.42130 1.640460
MAT-591   -6839.63820 35776.945735
MAT-592   -nan nan
MAT-593   -263.48520 2168.756167
MAT-594   -5086.08979 24879.685184
MAT-595   0.00000 0.000000
MAT-596   0.00000 0.000000
MAT-597   0.00000 0.000000
MAT-598   0.00000 0.000000
MAT-599   2145.81967 10610.734010
MAT-600   453.87313 6716.764612
MAT-601   -2469.82283 13529.862873
MAT-602   0.34892 1.464375
MAT-603   187.87140 2893.874129
MAT-604   0.00000 0.000000
MAT-605   -485.45765 2119.206331
MAT-606   -9509.54771 86060.916408
MAT-607   0.00000 0.000000
MAT-608   0.35127 1.720565
MAT-609   0.00000 0.000000
MAT-610   429.39482 4497.042886
MAT-611   -nan nan
MAT-612   0.00000 0.000000
MAT-613   0.00000 0.000000
MAT-614   1441.40509 2837.999706
MAT-615   -nan nan
MAT-616   -2394.57570 4698.580222
MAT-617   0.00000 0.000000
MAT-618   0.00000 0.000000
MAT-619   0.48799 1.776504
MAT-620   0.00000 0.000000
MAT-621   0.00000 0.000000
MAT-622   0.06709 0.256938
MAT-623   2.33869 4.046083
MAT-624   -1149.85194 3213.874585
MAT-625   -nan nan
MAT-626   -nan nan
MAT-627   0.00000 0.000000
MAT-628   769.80871 4726.984626
MAT-629   0.00000 0.000000
MAT-630   5322.50140 17407.641564
MAT-631   0.00000 0.000000
MAT-632   -0.14717 0.309076
MAT-633   0.00000 0.000000
MAT-634   -0.02446 0.068320
MAT-635   0.00000 0.000000
MAT-636   1677.24277 7307.826548
MAT-637   0.00000 0.000000
MAT-638   -291.86765 1981.063203
MAT-639   0.00000 0.000000
MAT-640   -185.41276 1819.405510
MAT-641   209.82420 692.206770
MAT-642   0.00000 0.000000
MAT-643   0.00000 0.000000
MAT-644   0.00000 0.000000
MAT-645   0.30595 1.498559
MAT-646   0.00000 0.000000
MAT-647   -2853.60589 11931.546090
MAT-648   0.00000 0.000000
MAT-649   0.00027 0.024418
MAT-650   0.00000 0.000000
MAT-651   -nan nan
MAT-652   -nan nan
MAT-653   0.01647 0.079473
MAT-654   0.00000 0.000000
MAT-655   674.94917 9510.728232
MAT-656   0.77510 1.321490
MAT-657   -505.04036 2399.838711
MAT-658   1557.34104 7967.509788
MAT-659   0.21369 0.861401
MAT-660   0.00000 0.000000
MAT-661   -nan nan
MAT-662   77.38429 254.755251
MAT-663   -4142.24999 38987.816592
MAT-664   -1506.94048 4013.595766
MAT-665   877.09716 3876.129032
MAT-666   0.00000 0.000000
MAT-667   -69827.48815 162255.877940
MAT-668   0.00000 0.000000
MAT-669   172.63801 5948.636554
MAT-670   -735.56953 4273.181695
MAT-671   -nan nan
MAT-672   -1059.86401 4145.464442
MAT-673   -nan nan
MAT-674   0.26484 0.593987
MAT-675   0.00000 0.000000
MAT-676   0.00000 0.000000
MAT-677   0.00000 0.000000
MAT-678   392.93524 3608.276138
MAT-679   1.36849 1.757353
MAT-680   2.73658 7.856483
MAT-681   -389.75970 2480.716683
MAT-682   1569.09235 3923.612989
MAT-683   0.00000 0.000000
MAT-684   0.00000 0.000000
MAT-685   0.04015 0.358321
MAT-686   0.00000 0.000000
MAT-687   93.62909 981.285613
MAT-688   0.00000 0.000000
MAT-689   0.03660 0.189474
MAT-690   0.00000 0.000000
MAT-691   -nan nan
MAT-692   910.73992 2814.153979
MAT-693   0.32838 1.178122
MAT-694   0.00000 0.000000
MAT-695   -184.20552 6069.299775
MAT-696   -1970.56744 7972.915655
MAT-697   0.00000 0.000000
MAT-698   1291.83117 5019.120396
MAT-699   -2262.95582 8064.690729
MAT-700   84.40295 221.801898
MAT-701   0.00000 0.000000
MAT-702   570.32911 2371.834698
MAT-703   -nan nan
MAT-704   -2376.94883 6345.440825
MAT-705   4077.56347 11929.326082
MAT-706   0.00000 0.000000
MAT-707   -2203.62362 6545.670327
MAT-708   1231.17061 4301.222534
MAT-709   0.00000 0.000000
MAT-710   0.00000 0.000000
MAT-711   0.00000 0.000000
MAT-712   1692.74130 7375.354346
MAT-713   0.00000 0.000000
MAT-714   1.25422 3.205277
MAT-715   0.00000 0.000000
MAT-716   0.00000 0.000000
MAT-717   565.78742 2025.622097
MAT-718   -12306.93471 37784.209371
MAT-719   -nan nan
MAT-720   0.00000 0.000000
MAT-721   0.00000 0.000000
MAT-722   -nan nan
MAT-723   20.77097 81.387383
MAT-724   -nan nan
MAT-725   -6973.30910 27911.889311
MAT-726   -475.36459 1899.218747
MAT-727   -889.66584 5559.040241
MAT-728   0.23541 0.583720
MAT-729   0.00000 0.000000
MAT-730   0.00000 0.000000
MAT-731   1148.36489 7925.956113
MAT-732   -nan nan
MAT-733   -nan nan
MAT-734   1780.25169 3319.165791
MAT-735   0.00000 0.000000
MAT-736   0.00000 0.000000
MAT-737   0.00000 0.000000
MAT-738   -nan nan
MAT-739   -530.79098 5884.209204
MAT-740   -2653.69587 11603.056242
MAT-741   431.13579 3296.532799
MAT-742   75.25070 294.184735
MAT-743   0.00000 0.000000
MAT-744   0.80828 3.503932
MAT-745   0.00000 0.000000
MAT-746   -114.42217 1297.417249
MAT-747   50.14498 769.361229
MAT-748   0.00000 0.000000
MAT-749   0.00000 0.000000
MAT-750   -nan nan
MAT-751   -1314.88018 10528.557986
MAT-752   0.00000 0.000000
MAT-753   -19.42239 1283.348372
MAT-754   -4854.61988 7929.441834
MAT-755   -3509.99994 15929.520199
MAT-756   0.00000 0.000000
MAT-757   0.00000 0.000000
MAT-758   -0.27209 1.079096
MAT-759   -5780.07516 33437.942802
MAT-760   0.00000 0.000000
MAT-761   1026.02446 3265.670226
MAT-762   -706.70656 7716.185488
MAT-763   -2994.95878 16046.109467
MAT-764   2180.99964 32641.355644
MAT-765   0.00000 0.000000
MAT-766   19.04884 685.583474
MAT-767   0.00000 0.000000
MAT-768   -242.20236 5272.805984
MAT-769   0.00000 0.000000
MAT-770   -nan nan
MAT-771   0.00000 0.000000
MAT-772   -654.84595 2816.826128
MAT-773   -nan nan
MAT-774   379.36621 1153.568969
MAT-775   -nan nan
MAT-776   110.57787 427.428526
MAT-777   5259.83380 15390.061603
MAT-778   0.00000 0.000000
MAT-779   0.00000 0.000000
MAT-780   -889.32452 2074.887330
MAT-781   0.00000 0.000000
MAT-782   0.00000 0.000000
MAT-783   0.00000 0.000000
MAT-784   0.31706 0.900480
MAT-785   -2000.90313 5816.733397
MAT-786   0.00000 0.000000
MAT-787   2330.10756 15541.903524
MAT-788   -905.47776 8387.154957
MAT-789   0.00000 0.000000
MAT-790   0.00000 0.000000
MAT-791   -nan nan
MAT-792   0.00000 0.000000
MAT-793   -nan nan
MAT-794   0.00000 0.000000
MAT-795   -nan nan
MAT-796   45.54519 182.001228
MAT-797   -271.28604 6571.637733
MAT-798   25081.22725 83715.074393
MAT-799   -3644.33503 13647.515994
MAT-80   1.87155 3.886986
MAT-81   0.00000 0.000000
MAT-82   -229.12267 951.115069
MAT-83   -188.69353 956.830766
MAT-84   917.87700 3530.633644
MAT-85   0.00000 0.000000
MAT-86   0.00000 0.000000
MAT-87   0.00000 0.000000
MAT-88   -987.31932 5049.376204
MAT-89   -221.80055 3191.181377
MAT-90   64.66930 232.577028
MAT-91   0.00000 0.000000
MAT-92   0.00000 0.000000
MAT-93   0.00000 0.000000
MAT-94   0.37478 1.751105
MAT-95   -2433.00999 51284.449463
MAT-96   -2430.21917 6075.455128
MAT-97   872.84276 2324.662199
MAT-98   0.00000 0.000000
MAT-99   17426.27023 51957.197511
MAT-100   0.00000 0.000000
MAT-101   0.00000 0.000000
MAT-102   -562.28623 2867.463015
MAT-103   4496.44028 18734.058025
MAT-104   -4799.47093 27300.185324
MAT-105   0.00000 0.000000
MAT-106   0.00000 0.000000
MAT-107   -5239.74018 25620.317691
MAT-108   0.00000 0.000000
MAT-109   1782.80649 5919.778506
MAT-110   0.10333 0.279250
MAT-111   -0.36369 1.633815
MAT-112   0.00000 0.000000
MAT-113   -4297.01088 17403.285526
MAT-114   0.00000 0.000000
MAT-115   -nan nan
MAT-116   0.00000 0.000000
MAT-117   1177.47967 3058.849962
MAT-118   -5537.75960 23814.572048
MAT-119   0.00000 0.000000
MAT-800   -nan nan
MAT-801   565.17459 2661.967679
MAT-802   0.00000 0.000000
MAT-803   -nan nan
MAT-804   2709.14115 13546.291493
MAT-805   1027.66948 4153.866391
MAT-806   -nan nan
MAT-807   -538.24639 1805.411426
MAT-808   0.02815 0.057524
MAT-809   0.39688 1.343708
MAT-810   0.00000 0.000000
MAT-811   -nan nan
MAT-812   0.00000 0.000000
MAT-813   0.00000 0.000000
MAT-814   1468.59964 4288.168684
MAT-815   -222.28523 1273.960339
MAT-816   0.00000 0.000000
MAT-817   0.00000 0.000000
MAT-818   -2088.38165 15565.490246
MAT-819   -32.26178 7020.032355
MAT-820   2673.07994 10071.221689
MAT-821   802.08445 1398.254141
MAT-822   -nan nan
MAT-823   0.00000 0.000000
MAT-824   -20.87877 1379.579076
MAT-825   1.63167 2.736962
MAT-826   0.00000 0.000000
MAT-827   -7986.45284 38230.206869
MAT-828   9573.51625 27699.268511
MAT-829   2396.76191 4147.217293
MAT-830   -nan nan
MAT-831   0.00000 0.000000
MAT-832   0.00000 0.000000
MAT-833   -nan nan
MAT-834   -nan nan
MAT-835   -nan nan
MAT-836   0.00000 0.000000
MAT-837   0.00000 0.000000
MAT-838   -nan nan
MAT-839   427.30951 2928.698275
MAT-840   1137.55853 4419.405946
MAT-841   0.28643 0.486250
MAT-842   611.04388 2467.647492
MAT-843   -nan nan
MAT-844   -739.25637 5795.500381
MAT-845   0.00000 0.000000
MAT-846   0.00000 0.000000
MAT-847   -6585.05803 28457.236659
MAT-848   -5726.96278 16879.033453
MAT-849   388.14605 1134.864494
MAT-850   0.00000 0.000000
MAT-851   0.00000 0.000000
MAT-852   -nan nan
MAT-853   5598.51312 22925.913078
MAT-854   -nan nan
MAT-855   0.00000 0.000000
MAT-856   0.00000 0.000000
MAT-857   0.00000 0.000000
MAT-858   0.00000 0.000000
MAT-859   -nan nan
MAT-860   0.00000 0.000000
